IDEnquestat	IDCol·lector	DataInici	DataFinal	AdreçaElectrònica	Nom	Cognoms	DadesPersonalitzades	Respecte a l'accés a l'habitatge, creus que al teu barri?	Quin creus que és el principal problema en relacio a l'accés a l'habitatge? (Tria fins a dues opcions)								Creus que la situació respecte a l'ensenyament públic (incloses totes les etapes) al barri és?	Quin creus que és el principal problema en relació  a l'accés a l’escola pública? (Tria fins a dues opcions)						Creus que la situació de l’atenció sanitària pública al teu barri és?	Quin creus que és el principal problema en relació a l'accés a l’atenció sanitària? (Tria fins a dues opcions)							Creus que les tarifes actuals del transport públic són?	Com valoraries la qualitat de l'aire que es respira al teu barri?	El nivell de soroll (diürn i nocturn) en el teu barri és?	Creus que el nivell de turisme al teu barri és?	Quin creus que és el principal inconvenient en relació al nivell de turisme al teu barri? (Tria fins a dues opcions)								Quins tipus d'espai fan més falta al barri? (Tria fins a dues opcions)							Les possibilitats per què la ciutadania opini i influeixi en les polítiques municipals actualment són?	Creus que les instàncies de vida associativa (cooperatives, entitats culturals, etc) al teu barri són?	Estaries d'acord amb que el regidor del districte sigui escollit directament per la gent?	Quins altres problemes no esmentats en el qüestionari són importants al barri on vius? I per la ciutat?	Tens alguna proposta per al barri / districte que es pogués implementar en el futur?	Quants anys tens?	Identifiques el teu gènere com		Barri		Codi Postal	Quin és el nivell màxim d'educació que has obtingut?	Quina és la teva situació laboral?		Participes en alguna associació / organització?
3715852565	60358171	26/01/2015 11:38:56	26/01/2015 11:41:39					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa	Dificultats accés als crèdits		Desnonaments	Excés de pisos buits		Dolenta	Poques places		Estat dels edificis i instal·lacions	Mala qualitat de l'ensenyament			Dolenta	Manca de centres d'atenció primària	Manca de places/serveis hospitalaris	Manca de serveis d'urgències	Durada dels temps d'espera	Problemes d'atenció / tracte	Problemes de qualitat		Massa elevades	Dolenta	Normal	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics	Sorolls	Augment de les escombraries, brutícia			Parcs / zones verdes	Biblioteques	Centres Civics			Places		Insuficients	Adequades	Sí			35	Home		Sants		8014	Universitària	Aturat		Sí
3715852002	60358171	26/01/2015 11:38:26	26/01/2015 11:46:14					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Dolenta	Poques places						Dolenta	Manca de centres d'atenció primària	Manca de places/serveis hospitalaris	Manca de serveis d'urgències	Durada dels temps d'espera				Elevades	Dolenta	Normal	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics					Parcs / zones verdes			Zones per a esports				Insuficients	Insuficients	Sí			32	Dona		La Nova Esquerra de l'Eixample		8029	Universitària	Aturat		No
3715851793	60358171	26/01/2015 11:38:31	26/01/2015 11:52:31					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra				Condicions dels habitatges				Dolenta	Poques places				Desigualtat entre escoles		Adequada		Manca de places/serveis hospitalaris	Manca de serveis d'urgències					Massa elevades	Dolenta	Normal	Perjudicial	Nivell excessiu		Encariment dels preus (aliments, oci, habitatge, etc.)						Parcs / zones verdes						Espais autogestionats, ateneus...	Insuficients	Insuficients	Sí			35	Dona		El Raval		8001	Universitària	Treballador per compte propi		Sí
3715851778	60358171	26/01/2015 11:38:20	26/01/2015 11:41:50					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra						Excés de pisos buits		Adequada							Molt dolenta		Manca de places/serveis hospitalaris		Durada dels temps d'espera				Elevades	Dolenta	Baix	Ni perjudicial ni beneficiós							Cap		Parcs / zones verdes			Zones per a esports				Adequades	Adequades	Sí			24	Home		El Congrés i els Indians		8027	Universitària	Aturat		Sí
3715851136	60358171	26/01/2015 11:37:33	26/01/2015 11:52:37					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra						Excés de pisos buits	Condiciones fiscales desfavorables.	Dolenta	Poques places			Mala qualitat de l'ensenyament	Desigualtat entre escoles		Dolenta				Durada dels temps d'espera		Problemes de qualitat	No parece haber un problema de capacidad profesional sino de actitud profesional.  Demasiada displicencia médica.	Massa elevades	Adequada	Normal	Ni perjudicial ni beneficiós		Nivell insuficient					Cap		Parcs / zones verdes						FALTA DE PLAZAS DE APARCAMIENTO.  Cada año se recortan más y más.	Molt insuficients	Molt insuficients	Sí	Falta de seguridad: GRAN AUMENTO DE ROBOS EN VIVIENDAS y robo callejero.	Habitualmente, en los bloques de vivienda toman las decisiones sólo los propietarios.  Los inquilinos deberíamos tener posibilidad de participar en cuestiones relativas a la seguridad y la vida cotidiana.  Actualmente, los inquilinos en muchos sentidos estamos marginados.	49	Home				8005	Universitària	Altres (especifiqueu)	Trabajo cuando aparece algún cliente.	No
3715850014	60358171	26/01/2015 11:37:22	26/01/2015 11:41:54					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa		Condicions dels habitatges				Adequada	Poques places	Lluny de casa					Adequada				Durada dels temps d'espera	Problemes d'atenció / tracte	Problemes de qualitat		Elevades	Dolenta	Normal	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)		Sorolls				Parcs / zones verdes						Augmentar els patis interior d'illes	Molt insuficients	Insuficients	No ho sé	L'atenció als avis que viuen en pisos vells sense ascensor i han d'ant a comprar, al metge...		58	Home		Sant Antoni		8011	Universitària	Treballador per compte aliè		Sí
3715849357	60358171	26/01/2015 11:37:03	26/01/2015 11:41:47					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa		Condicions dels habitatges				Dolenta					Desigualtat entre escoles		Dolenta	Manca de centres d'atenció primària	Manca de places/serveis hospitalaris		Durada dels temps d'espera				Massa elevades	Dolenta	Molt alt	Perjudicial	Nivell excessiu		Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics	Sorolls				Parcs / zones verdes				Zones de jocs per a nens	Places		Molt insuficients	Insuficients	Sí	Més ajudes a la gent sense recursos, barri empobrit	Escoltar a les associacions que ja treballen al barri i veure quines propostes tenen.	40	Dona		El Raval		8001	Universitària	Altres (especifiqueu)	Funcionari. Professora d'educació secundària	Sí
3715845673	60358171	26/01/2015 11:29:51	26/01/2015 11:48:01					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra								Adequada	Poques places						Adequada			Manca de serveis d'urgències					Massa elevades	Dolenta	Alt	Perjudicial	Nivell excessiu							Desaparició del comerç de proximitat substituit per les botigues cutres de souvenirs. Saltant-se la normativa			Centres Civics		Zones de jocs per a nens		Centres cívics per nens i joves, amb grans espais de creació i de relació (bar/restaurant/pati...)	Insuficients	Adequades	Sí	La travessera de dalt. Aïlla el barri de la salut. Està morta a nivell comercial i si només es planteja com a via ràpida encara acabarà més enfonsada (si, amb palmeres). La travessera hauria de prioritzar al vianant i al ciclista (carril bici, si us plau!) encara q sembli utòpic hauria d'assemblar-se més a pg de st.joan q a general mitre. Si fins i tot la diagonal i les glòries tenen carril bici!un altre tema q em preocupa és la perdua de referents culturals al barri. La cladera, la becket, fins i tot el kgb ja no hi són. Els verdi perillen. Gràcia se l'està jugant i l'ajuntament només pensa en els turístes i en convertir La salut en el geriàtric més gran de la ciutat.	convertir el barri en super illa. . La salut hauria de ser d'accés restringit, com ja és part de gràcia. Convertir la travessera de dalt en passeig de st.joan.	38	Dona		La Salut		8024	Universitària	Treballador per compte propi		Sí
3715827986	60358171	26/01/2015 11:22:30	26/01/2015 11:31:25					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra			Dificultats accés als crèdits					Dolenta				Mala qualitat de l'ensenyament	Desigualtat entre escoles		Dolenta				Durada dels temps d'espera		Problemes de qualitat		Massa elevades	Dolenta	Normal	Ni perjudicial ni beneficiós							Cap		Parcs / zones verdes						Zones per poder deixar els gossos sense lligar (i no em refereixo a pipi-cans que fan fastig)	Molt insuficients	Insuficients		Manca de zones per aparcar el cotxe. Fer una distribució diferent, que no sigui per barris sino per zones (ara si et toca aparcar al limit del teu barri, has d'anar a aparcar molt lluny d'on vius).	Aprofitar places/parcs que no es fan servir i adecuar-los per usos (zones per deixar lliures els gossos, i no em refereixo a pipi-cans)	34	Home		Les Corts		8029	Universitària	Treballador per compte aliè		No
3715797851	60358171	26/01/2015 11:02:23	26/01/2015 11:08:14					No hi ha problemes importants				Dificultats accés als crèdits					Molt bona					Desigualtat entre escoles		Molt bona				Durada dels temps d'espera				Elevades	Bona	Normal	Beneficiós							Cap		Parcs / zones verdes							Adequades	Excessives	Sí			7		Nevera	El Poblenou		8018	Universitària	Treballador per compte aliè		No
3715793941	60358171	26/01/2015 10:59:33	26/01/2015 11:04:35					No hi ha problemes importants	Relació qualitat-preu del lloguer / compra	Manca d'oferta de lloguer / compra							Dolenta				Mala qualitat de l'ensenyament			Dolenta	Manca de centres d'atenció primària							Elevades	Dolenta	Molt alt	Perjudicial	Nivell excessiu			Saturació dels espais públics	Sorolls					Biblioteques						Molt insuficients	Insuficients	Sí	turisme dolent	no utilitzar el barri com a bandera propagandiste	36	Home		Sant Pere, Santa Caterina i la Ribera		8003	Universitària	Treballador per compte propi		Sí
3715788335	60358171	26/01/2015 10:55:49	26/01/2015 11:07:30					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra			Dificultats accés als crèdits					Dolenta	Poques places	Lluny de casa			Desigualtat entre escoles	Inversión en Educación para dotar las escuelas de los medios necesarios para dar una educación de calidad	Adequada				Durada dels temps d'espera			El Hospital de Sant Pau tiene plantas cerradas, además que ha sido una verguenza su gestión y corrupcion	Massa elevades	Adequada	Baix	Ni perjudicial ni beneficiós		Nivell insuficient	Encariment dels preus (aliments, oci, habitatge, etc.)						Parcs / zones verdes			Zones per a esports				Molt insuficients	Insuficients	Sí	el cierre del pequeño comercio y la falta de competitividad con grandes empresas como Amazon	Sí, precisamente el potenciamiento del comercio en el barrio mediante un marketing por internet acercando y facilitando la vida al consumidor final	38	Home		El Guinardó		8041	Universitària	Treballador per compte aliè		Sí
3715784088	60358171	26/01/2015 10:52:57	26/01/2015 10:57:32					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra								Dolenta	Poques places				Desigualtat entre escoles		Adequada						Problemes de qualitat	Pressió laboral per als treballadors de la salut	Elevades	Molt dolenta	Molt alt	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics					Parcs / zones verdes			Zones per a esports				Insuficients	Insuficients	Sí	Pocs veins i molts equipaments turístics		59	Dona		El Barri Gòtic		8002	Universitària	Aturat		Sí
3715776417	60358171	26/01/2015 10:47:47	26/01/2015 10:52:54					Hi ha alguns problemes						Desnonaments	Excés de pisos buits		Dolenta				Mala qualitat de l'ensenyament	Desigualtat entre escoles		Dolenta			Manca de serveis d'urgències	Durada dels temps d'espera				Massa elevades	Molt dolenta	Normal	Perjudicial	Nivell excessiu		Encariment dels preus (aliments, oci, habitatge, etc.)						Parcs / zones verdes			Zones per a esports				Molt insuficients	Insuficients	Sí	Oferta d'oci gratuïta		25	Dona		El Camp d'en Grassot i Gràcia Nova		8037	Universitària	Altres (especifiqueu)	Treballadora per comte aliè i estudiant	Sí
3715762046	60358171	26/01/2015 10:37:59	26/01/2015 10:42:25					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra								Dolenta	Poques places		Estat dels edificis i instal·lacions				Adequada								Elevades	Dolenta	Normal	Perjudicial	Nivell excessiu		Encariment dels preus (aliments, oci, habitatge, etc.)						Parcs / zones verdes						escoles bressol publiques	Molt insuficients	Adequades	Sí			33	Dona		La Vila de Gràcia		8012	Universitària	Treballador per compte aliè		Sí
3715761361	60358171	26/01/2015 10:37:34	26/01/2015 10:40:21					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa	Dificultats accés als crèdits					Adequada							Dolenta		Manca de places/serveis hospitalaris		Durada dels temps d'espera				Massa elevades	Molt dolenta	Baix	Ni perjudicial ni beneficiós		Nivell insuficient					Cap						Zones de jocs per a nens		Casal per a Joves	Insuficients	Adequades	Sí			37	Home		La Verneda i la Pau		8020	Secundària	Treballador per compte propi		Sí
3715751933	60358171	26/01/2015 10:30:32	26/01/2015 10:40:55					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra	Manca d'oferta de lloguer / compra							Dolenta					Desigualtat entre escoles	Racisme i discriminació. La gent catalana del barri no vol posar als fills a les escoles del Raval.	Bona							És el mateix que a tot el territori: l'Aperheid Sanitari. No sé que fa falta, però metges i enfermeres estan desbordats.	Massa elevades	Dolenta	Baix	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)					"Volen expulsar el veïns i els hi ""llencen"" la policia que els tracta malament. Al Raval et multen per a tirar una burilla a terra... ho fan aixó a barris rics de BCN?"					Zones de jocs per a nens		REcuperar els carrers i places pels infants seria ja molt correcte.	Molt insuficients	Excessives	Sí	"Potser hi ha instancies participatives... però hi ha també ""mirada de menys preu"" per part dels que fan les reunions."	Policia correcte en el tracte (no sóm enemigs) i que els veïns acceptessin que els infants juguin al carrer.	51	Dona		El Raval		8001	Secundària	Treballador per compte aliè		Sí
3715749174	60358171	26/01/2015 10:28:45	26/01/2015 11:00:55					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa					Solicitud de contratos de larga duración y altas nóminas por las agencias, cuando la mayoría no tenemos este tip de contrato							No tengo información sobre este apartado	Dolenta			Manca de serveis d'urgències	Durada dels temps d'espera	Problemes d'atenció / tracte		El personal y médicos tienen mucho trabajo y van contra-reloj.	Massa elevades	Adequada	Molt alt	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics	Sorolls	Augment de les escombraries, brutícia								Places		Molt insuficients	Adequades	Sí	Mencionar que en el barrio existen las instancias de vida asociativa, pero no veo que tengan una labor movilizadora de la población, solo sabes que ofrecen y hacen si te acercas, y a muchas personas les da pena ir a preguntar sobre sus actividades.		42	Dona		Sant Antoni		8015	Universitària	Treballador per compte aliè		Sí
3715736223	60358171	26/01/2015 10:19:24	26/01/2015 10:24:33					Hi ha greus problemes			Manca d'oferta pública / cooperativa						Dolenta	Poques places						Adequada				Durada dels temps d'espera				Massa elevades	Dolenta	Molt alt	Ni perjudicial ni beneficiós						Augment de les escombraries, brutícia								Places		Molt insuficients	Adequades	Sí			51	Dona		El Poble Sec		8004	Universitària	Treballador per compte propi		No
3715727275	60358171	26/01/2015 10:13:33	26/01/2015 10:25:35					No hi ha problemes importants									Bona	Poques places						Bona				Durada dels temps d'espera				Massa elevades	Dolenta	Molt alt	Beneficiós							Cap		Parcs / zones verdes							Insuficients	Adequades	Sí			30	Home		Sant Antoni		8011				No
3715722827	60358171	26/01/2015 10:10:15	26/01/2015 10:17:40					Hi ha alguns problemes			Manca d'oferta pública / cooperativa	Dificultats accés als crèdits					Adequada		Lluny de casa			Desigualtat entre escoles		Adequada		Manca de places/serveis hospitalaris		Durada dels temps d'espera				Elevades	Dolenta	Alt	Perjudicial	Nivell excessiu			Saturació dels espais públics								Zones per a esports	Zones de jocs per a nens			Molt insuficients	Insuficients	Sí	Els pisos turístics, la LAU, la qualitat de la guàrdia urbsna	Reunions mensuals de ciutadans i regidors	47	Home		La Sagrada Família		8025	Universitària	Treballador per compte propi		No
3715722231	60358171	26/01/2015 10:08:26	26/01/2015 10:14:57					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Dolenta							Adequada								Elevades	Dolenta	Molt alt	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics							Centres Civics				Comerços no orientats al turisme	Molt insuficients	Insuficients	Sí			32	Home		Sant Pere, Santa Caterina i la Ribera		8003	Universitària	Estudiant		Sí
3715718231	60358171	26/01/2015 10:07:09	26/01/2015 10:12:58					Hi ha alguns problemes			Manca d'oferta pública / cooperativa													Adequada				Durada dels temps d'espera				Massa elevades	Dolenta	Alt	Perjudicial					Sorolls								Zones de jocs per a nens			Molt insuficients	Insuficients	Sí			55	Home		Sant Pere, Santa Caterina i la Ribera		8003	Universitària	Treballador per compte propi		No
3715715358	60358171	26/01/2015 10:03:42	26/01/2015 10:17:56					Hi ha alguns problemes			Manca d'oferta pública / cooperativa	Dificultats accés als crèdits					Adequada	Poques places	Lluny de casa					Adequada				Durada dels temps d'espera				Baixes	Dolenta	Molt alt	Beneficiós					Sorolls		Cap						Zones de jocs per a nens			Insuficients	Adequades	Sí			42	Home		La Dreta de l'Eixample		8009	Universitària	Treballador per compte propi		Sí
3715708196	60358171	26/01/2015 09:59:25	26/01/2015 10:13:41					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra			Dificultats accés als crèdits		Desnonaments			Dolenta	Poques places			Mala qualitat de l'ensenyament			Adequada		Manca de places/serveis hospitalaris						Massa elevades	Adequada	Normal	Ni perjudicial ni beneficiós							Cap			Biblioteques						Molt insuficients	Insuficients	Sí			47	Home		Sant Martí de Provençals		8020	Primària	Altres (especifiqueu)	Incapacidad fisica en grado de total	Sí
3715699560	60358171	26/01/2015 09:33:38	26/01/2015 10:10:13					Hi ha alguns problemes					Condicions dels habitatges				Adequada						Alimentació vegetariana, ecològica i variada	Adequada							No l'utilitzo sovint	Massa elevades	Dolenta	Molt alt	Ni perjudicial ni beneficiós					Sorolls	Augment de les escombraries, brutícia									Pipicans o espais per a gossos	Insuficients	Adequades	No ho sé	Per a la ciutat s'hauria de millorar l'accés a la gossera municipal i acabar amb la venta d'animals. També, en una ciutat pionera en la defensa dels animals, s'haurien de replantejar el model de zoo i l'aquari.	El soroll es un problema important.	32	Home		El Camp d'en Grassot i Gràcia Nova			Universitària	Estudiant		Sí
3715699234	60358171	26/01/2015 09:53:30	26/01/2015 10:00:50					No hi ha problemes importants						Desnonaments	Excés de pisos buits		Molt dolenta						Només hi ha una escola pública a prop de casa, i son 20 min a peu.	Adequada			Manca de serveis d'urgències	Durada dels temps d'espera				Elevades	Dolenta	Alt	Ni perjudicial ni beneficiós							Cap							Places	Hi han zones verdes però plenes de caques i pipis de gos, i els nens no les poden gaudir en plenitud.	Insuficients	Insuficients	Sí	Tenim una esglèsia davant de casa que el cap de setmana fa servir el carrer com a aparcament com li surt, sense contenplacions i amb el consentiment de la urbana.	S'han de crear escoles públiques, o les concertades fer-les públiques.	36	Dona		Sant Gervasi-Galvany		8021	Universitària	Treballador per compte propi		Sí
3715695861	60358171	26/01/2015 09:51:07	26/01/2015 09:56:52					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra						Excés de pisos buits		Dolenta	Poques places				Desigualtat entre escoles		Adequada				Durada dels temps d'espera				Massa elevades	Molt dolenta	Alt	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics										Places		Molt insuficients	Insuficients	Sí			30	Dona		Sant Antoni		8015	Universitària	Aturat		Sí
3715694909	60358171	26/01/2015 09:50:30	26/01/2015 09:55:51					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa	Dificultats accés als crèdits					Adequada	Poques places		Estat dels edificis i instal·lacions		Desigualtat entre escoles		Adequada		Manca de places/serveis hospitalaris	Manca de serveis d'urgències	Durada dels temps d'espera				Massa elevades	Molt dolenta	Alt	Perjudicial	Nivell excessiu		Encariment dels preus (aliments, oci, habitatge, etc.)						Parcs / zones verdes							Molt insuficients	Adequades	Sí			22	Home		Sant Antoni		8015	Universitària	Aturat		Sí
3715694487	60358171	26/01/2015 09:46:24	26/01/2015 09:57:42					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa			Desnonaments	Excés de pisos buits		Adequada			Estat dels edificis i instal·lacions		Desigualtat entre escoles		Adequada				Durada dels temps d'espera	Problemes d'atenció / tracte			Massa elevades	Dolenta	Alt	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)			Augment de les escombraries, brutícia			Parcs / zones verdes							Molt insuficients	Adequades	Sí			29	Home		La Vila de Gràcia		8006	Secundària	Treballador per compte aliè		Sí
3715690159	60358171	26/01/2015 09:46:55	26/01/2015 09:50:52					Hi ha alguns problemes			Manca d'oferta pública / cooperativa				Excés de pisos buits		Adequada				Mala qualitat de l'ensenyament	Desigualtat entre escoles		Bona				Durada dels temps d'espera	Problemes d'atenció / tracte			Massa elevades	Dolenta	Normal	Ni perjudicial ni beneficiós							Cap		Parcs / zones verdes							Molt insuficients	Adequades	Sí			33	Home				8026	Secundària	Treballador per compte aliè		No
3715689899	60358171	26/01/2015 09:46:13	26/01/2015 09:59:02					Hi ha greus problemes			Manca d'oferta pública / cooperativa		Condicions dels habitatges				Adequada	Poques places				Desigualtat entre escoles		Bona			Manca de serveis d'urgències					Elevades	Dolenta	Alt	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics					Parcs / zones verdes				Zones de jocs per a nens			Molt insuficients	Adequades	Sí			44	Dona		La Barceloneta		8003	Universitària	Aturat		Sí
3715687143	60358171	26/01/2015 09:44:16	26/01/2015 09:54:03					Hi ha greus problemes			Manca d'oferta pública / cooperativa						Molt dolenta	Poques places						Dolenta					Problemes d'atenció / tracte			Massa elevades	Molt dolenta	Molt alt	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)										Zones de jocs per a nens			Molt insuficients	Insuficients	Sí	Els sense sostre i el pidolàries necessiten polítiques de recuparació més efectives.	Els edificis buits tant de particulars com de l'Ajuntament s'han de socialitzar.	68	Dona		La Vila de Gràcia		8006	Universitària	Jubilat / Pensionista		No
3715686230	60358171	26/01/2015 09:44:04	26/01/2015 09:49:35					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra								Adequada	Poques places						Bona				Durada dels temps d'espera				Massa elevades	Dolenta	Molt baix	Beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)						Parcs / zones verdes			Zones per a esports				Molt insuficients	Adequades	Sí	potenciar el bicing i carrils bici	mes estacions de bicing	26	Home		La Dreta de l'Eixample		8009	Universitària	Treballador per compte aliè		Sí
3715680239	60358171	26/01/2015 09:39:24	26/01/2015 09:44:24					Hi ha alguns problemes			Manca d'oferta pública / cooperativa	Dificultats accés als crèdits		Desnonaments			Dolenta				Mala qualitat de l'ensenyament			Dolenta		Manca de places/serveis hospitalaris	Manca de serveis d'urgències			Problemes de qualitat		Elevades	Dolenta	Normal	Perjudicial		Nivell insuficient							Parcs / zones verdes				Zones de jocs per a nens			Molt insuficients	Insuficients	Sí	Trànsit i zones d'aparcament	Millora dels serveis socials	45	Dona		L'Antiga Esquerra de l'Eixample		8036	Universitària	Treballador per compte aliè		No
3715675239	60358171	26/01/2015 09:35:52	26/01/2015 09:42:23					Hi ha greus problemes		Manca d'oferta de lloguer / compra			Condicions dels habitatges				Dolenta	Poques places				Desigualtat entre escoles		Dolenta				Durada dels temps d'espera		Problemes de qualitat		Massa elevades	Dolenta	Molt alt	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics								Zones per a esports	Zones de jocs per a nens			Molt insuficients	Insuficients	No ho sé	Massa vehicle privat. Cal guanyar el carrer.	Ampliar voreres Via Lairtana i treure dos carrils, un per cada sentit de circulació.	41	Home		El Barri Gòtic		8002	Universitària	Treballador per compte aliè		Sí
3715665611	60358171	26/01/2015 09:20:55	26/01/2015 09:33:39					Hi ha greus problemes			Manca d'oferta pública / cooperativa						Dolenta					Desigualtat entre escoles		Dolenta				Durada dels temps d'espera				Massa elevades	Molt dolenta	Molt alt	Ni perjudicial ni beneficiós							Cap				Centres Civics	Zones per a esports				Molt insuficients	Adequades	Sí			37	Home		Hostafrancs		8014	Universitària	Treballador per compte propi		Sí
3715665305	60358171	26/01/2015 09:27:58	26/01/2015 09:32:03					Hi ha alguns problemes			Manca d'oferta pública / cooperativa						Dolenta	Poques places						Bona				Durada dels temps d'espera				Massa elevades	Dolenta	Baix	Ni perjudicial ni beneficiós	Nivell excessiu			Saturació dels espais públics						Biblioteques		Zones per a esports				Molt insuficients	Insuficients	Sí	el barri tenim el problema de les obres del tav.		20	Home		La Sagrera		8027	Secundària	Estudiant		Sí
3715663240	60358171	26/01/2015 09:26:35	26/01/2015 09:33:08					No hi ha problemes importants			Manca d'oferta pública / cooperativa	Dificultats accés als crèdits					Bona	Poques places						Bona				Durada dels temps d'espera				Adequades	Dolenta	Baix	Ni perjudicial ni beneficiós							Cap					Zones per a esports				Insuficients	Adequades	Sí	Poder fer més activitats en el centre civic	Ara mateix no	26	Home		Provençals del Poblenou		8020	Secundària	Treballador per compte aliè		Sí
3715660097	60358171	26/01/2015 09:24:19	26/01/2015 09:30:51					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra	Manca d'oferta de lloguer / compra							Dolenta				Mala qualitat de l'ensenyament	Desigualtat entre escoles		Adequada				Durada dels temps d'espera				Massa elevades	Molt dolenta	Molt alt	Perjudicial	Nivell excessiu		Encariment dels preus (aliments, oci, habitatge, etc.)						Parcs / zones verdes				Zones de jocs per a nens			Molt insuficients	Adequades	Sí	Monocultiu de negocis per barris		40	Dona		El Raval		8001	Universitària	Treballador per compte aliè		No
3715656149	60358171	26/01/2015 09:09:08	26/01/2015 09:26:25					No hi ha problemes importants			Manca d'oferta pública / cooperativa		Condicions dels habitatges	Desnonaments			Adequada			Estat dels edificis i instal·lacions	Mala qualitat de l'ensenyament	Desigualtat entre escoles		Molt dolenta	Manca de centres d'atenció primària	Manca de places/serveis hospitalaris						Massa elevades	Adequada	Alt	Beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)						Parcs / zones verdes							Molt insuficients	Insuficients	Sí			27	Home		La Vila de Gràcia		8012	Universitària	Estudiant		No
3715654887	60358171	26/01/2015 09:20:30	26/01/2015 09:42:08					Hi ha alguns problemes			Manca d'oferta pública / cooperativa						Adequada						Desconeixo	Dolenta				Durada dels temps d'espera	Problemes d'atenció / tracte		No l'espera d'urgències (ja s'encarreguen de dir-te que no hi vagis encara que sigui una mica greu) sino d'alltres coses que no m'afecten, com dares d'intervencions, etc.	Massa elevades	Dolenta	Baix	Ni perjudicial ni beneficiós						Augment de les escombraries, brutícia		Tinc la sort de que a nivell de carrer el meu barri de Poblenou està en millor situació que altres. Però, el nivell de turisme a altres punts de la ciutat és excessiu i perjudicial. Aquí els hotels están a la zona amplia de diagonal mar i no es nota. He marcat brutícia perquè a la platja si ho notem.							El meu barri encara s'hi salva. Altres hi ha més feina a fer en això. M'agradaria que les biblioteques que com les del meu barri que tanquen a les 20.30 obrin l'aula d'estudi a les 20.30 com abans... És incomodíssim la mitja hora tirada al carrer fred perquè ara obren a les 21.00.	Molt insuficients	Adequades	Sí	A altres barris sí que falten més entitats culturals, cooperatives, etc. I al meu i a tots, trobo a faltar impuls i ajude a comerços ecològics de barri i a cooperatives, per a que poc a poc entre tots aquesta opció tingui el preu normal que ha de tenir, no encarit per les trabes que es troben. Al meu barri seria fàcil, estan obrint petits comerços així amb ganes, però no sé si sobreviuran i no tindrem calers per a comparhi a diari com volem per a la nostra salut i per a la sostenibilitat.		24		Transgènere. M'encanta que hagueu inclòs l'opció d'altres!	El Poblenou		8005	Universitària	Estudiant		No
3715654387	60358171	26/01/2015 09:19:33	26/01/2015 09:24:19						Relació qualitat-preu del lloguer / compra	Manca d'oferta de lloguer / compra	Manca d'oferta pública / cooperativa						Dolenta	Poques places				Desigualtat entre escoles		Adequada							Professionals volcats amb manca de recursos	Massa elevades	Adequada	Baix	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)								Centres Civics					Insuficients	Adequades	Sí	Costa entrar a un teixit associatiu, sembla tancat.		31	Dona		El Clot		8026	Universitària	Treballador per compte propi		No
